id,Accuracy,Precision,Recall,F1
392,0.832,0.47333333333333333,0.44375,0.45806451612903226
393,0.799,0.4149377593360996,0.625,0.49875311720698257
394,0.847,0.5777777777777777,0.1625,0.25365853658536586
395,0.842,0.5238095238095238,0.1375,0.21782178217821782
396,0.843,0.5128205128205128,0.375,0.4332129963898917
397,0.846,0.5555555555555556,0.1875,0.2803738317757009
398,0.79,0.3983739837398374,0.6125,0.48275862068965514
399,0.843,0.5306122448979592,0.1625,0.2488038277511962
400,0.843,0.5333333333333333,0.15,0.23414634146341465
401,0.847,0.5853658536585366,0.15,0.23880597014925373
402,0.844,0.5185185185185185,0.35,0.417910447761194
403,0.843,0.5319148936170213,0.15625,0.24154589371980675
404,0.839,0.4927536231884058,0.2125,0.29694323144104806
405,0.847,0.5853658536585366,0.15,0.23880597014925373
406,0.847,0.5897435897435898,0.14375,0.23115577889447236
407,0.837,0.4794520547945205,0.21875,0.30042918454935624
408,0.833,0.47368421052631576,0.39375,0.4300341296928327
409,0.844,0.5454545454545454,0.15,0.2352941176470588
410,0.838,0.4864864864864865,0.225,0.3076923076923077
411,0.838,0.4921875,0.39375,0.43749999999999994
412,0.839,0.4959349593495935,0.38125,0.431095406360424
413,0.84,0.5,0.25,0.3333333333333333
414,0.841,0.5087719298245614,0.18125,0.26728110599078336
415,0.841,0.5035971223021583,0.4375,0.46822742474916385
416,0.791,0.40160642570281124,0.625,0.4889975550122249
417,0.837,0.4782608695652174,0.20625,0.28820960698689957
418,0.811,0.431924882629108,0.575,0.4932975871313673
419,0.796,0.4017857142857143,0.5625,0.46875
420,0.834,0.4722222222222222,0.31875,0.3805970149253731
421,0.787,0.3944223107569721,0.61875,0.4817518248175182
422,0.845,0.5581395348837209,0.15,0.23645320197044334
423,0.841,0.5102040816326531,0.15625,0.23923444976076555
424,0.788,0.3992248062015504,0.64375,0.492822966507177
425,0.836,0.4855072463768116,0.41875,0.4496644295302013
426,0.835,0.4675324675324675,0.225,0.30379746835443033
427,0.837,0.48598130841121495,0.325,0.3895131086142322
428,0.838,0.484375,0.19375,0.2767857142857143
